,Market_ID,Market_Name,Market_URL,Contract_ID,Contract_Name,bestBuyYesCost,bestBuyNoCost,BestSellYesCost,BestSellNoCost,Time_Stamp,Status
0,6663,What will be the popular vote margin in the 2020 presidential election?,https://www.predictit.org/markets/detail/6663/What-will-be-the-popular-vote-margin-in-the-2020-presidential-election,22403,Dems by 7.5% - 9.0%,0.12,0.89,0.11,0.88,09/05/2020 23:53:18,Open
1,6663,What will be the popular vote margin in the 2020 presidential election?,https://www.predictit.org/markets/detail/6663/What-will-be-the-popular-vote-margin-in-the-2020-presidential-election,22403,Dems by 7.5% - 9.0%,0.12,0.89,0.11,0.88,09/07/2020 11:20:42,Open
2,6663,What will be the popular vote margin in the 2020 presidential election?,https://www.predictit.org/markets/detail/6663/What-will-be-the-popular-vote-margin-in-the-2020-presidential-election,22403,Dems by 7.5% - 9.0%,0.12,0.89,0.11,0.88,09/07/2020 13:59:01,Open
