,Market_ID,Market_Name,Market_URL,Contract_ID,Contract_Name,bestBuyYesCost,bestBuyNoCost,BestSellYesCost,BestSellNoCost,Time_Stamp,Status
0,6199,Which of these 13 members of Trump’s Cabinet will leave next?,https://www.predictit.org/markets/detail/6199/Which-of-these-13-members-of-Trump’s-Cabinet-will-leave-next,19562,S. Mnuchin (Treas.),0.14,0.87,0.13,0.86,09/05/2020 23:53:18,Open
1,6199,Which of these 13 members of Trump’s Cabinet will leave next?,https://www.predictit.org/markets/detail/6199/Which-of-these-13-members-of-Trump’s-Cabinet-will-leave-next,19562,S. Mnuchin (Treas.),0.14,0.89,0.11,0.86,09/07/2020 11:20:42,Open
2,6199,Which of these 13 members of Trump’s Cabinet will leave next?,https://www.predictit.org/markets/detail/6199/Which-of-these-13-members-of-Trump’s-Cabinet-will-leave-next,19562,S. Mnuchin (Treas.),0.1,0.93,0.07,0.9,09/07/2020 13:59:01,Open
3,6199,Which of these 13 members of Trump’s Cabinet will leave next?,https://www.predictit.org/markets/detail/6199/Which-of-these-13-members-of-Trump’s-Cabinet-will-leave-next,19562,S. Mnuchin (Treas.),0.1,0.93,0.07,0.9,09/07/2020 14:03:30,Open
