,Market_ID,Market_Name,Market_URL,Contract_ID,Contract_Name,bestBuyYesCost,bestBuyNoCost,BestSellYesCost,BestSellNoCost,Time_Stamp,Status
0,4365,Which party will control the House after 2020 election?,https://www.predictit.org/markets/detail/4365/Which-party-will-control-the-House-after-2020-election,10463,Republican,0.19,0.82,0.18,0.81,09/05/2020 23:53:18,Open
1,4365,Which party will control the House after 2020 election?,https://www.predictit.org/markets/detail/4365/Which-party-will-control-the-House-after-2020-election,10463,Republican,0.19,0.82,0.18,0.81,09/07/2020 11:20:42,Open
2,4365,Which party will control the House after 2020 election?,https://www.predictit.org/markets/detail/4365/Which-party-will-control-the-House-after-2020-election,10463,Republican,0.18,0.83,0.17,0.82,09/07/2020 13:59:01,Open
3,4365,Which party will control the House after 2020 election?,https://www.predictit.org/markets/detail/4365/Which-party-will-control-the-House-after-2020-election,10463,Republican,0.18,0.83,0.17,0.82,09/07/2020 14:03:30,Open
