,Market_ID,Market_Name,Market_URL,Contract_ID,Contract_Name,bestBuyYesCost,bestBuyNoCost,BestSellYesCost,BestSellNoCost,Time_Stamp,Status
0,6653,What will be the Electoral College margin in the 2020 presidential election?,https://www.predictit.org/markets/detail/6653/What-will-be-the-Electoral-College-margin-in-the-2020-presidential-election,22318,Dems by 60 - 99,0.1,0.91,0.09,0.9,09/05/2020 23:53:18,Open
1,6653,What will be the Electoral College margin in the 2020 presidential election?,https://www.predictit.org/markets/detail/6653/What-will-be-the-Electoral-College-margin-in-the-2020-presidential-election,22318,Dems by 60 - 99,0.1,0.92,0.08,0.9,09/07/2020 11:20:42,Open
2,6653,What will be the Electoral College margin in the 2020 presidential election?,https://www.predictit.org/markets/detail/6653/What-will-be-the-Electoral-College-margin-in-the-2020-presidential-election,22318,Dems by 60 - 99,0.09,0.92,0.08,0.91,09/07/2020 13:59:01,Open
