,Market_ID,Market_Name,Market_URL,Contract_ID,Contract_Name,bestBuyYesCost,bestBuyNoCost,BestSellYesCost,BestSellNoCost,Time_Stamp,Status
0,6879,Will Kanye West be on the presidential ballot in Arizona?,https://www.predictit.org/markets/detail/6879/Will-Kanye-West-be-on-the-presidential-ballot-in-Arizona,23616,Will Kanye West be on the presidential ballot in Arizona?,0.02,0.99,0.01,0.98,09/10/2020 21:06:11,Open
1,6879,Will Kanye West be on the presidential ballot in Arizona?,https://www.predictit.org/markets/detail/6879/Will-Kanye-West-be-on-the-presidential-ballot-in-Arizona,23616,Will Kanye West be on the presidential ballot in Arizona?,0.02,0.99,0.01,0.98,09/10/2020 21:07:18,Open
2,6879,Will Kanye West be on the presidential ballot in Arizona?,https://www.predictit.org/markets/detail/6879/Will-Kanye-West-be-on-the-presidential-ballot-in-Arizona,23616,Will Kanye West be on the presidential ballot in Arizona?,0.02,0.99,0.01,0.98,09/10/2020 21:08:19,Open
